failed to get console mode for stdout: The handle is invalid.
main..searchByIdOrTitle&200&Ratings(main.searchByIdOrTitle&Input):::EXIT;return.Source one of { "Internet Movie Database", "Metacritic", "Rotten Tomatoes" };daikon.inv.unary.string.OneOfString;(return.Source)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;input.i == return.imdbID;daikon.inv.binary.twoString.StringEqual;(input.i, return.imdbID)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;return.Response == "True";daikon.inv.unary.string.OneOfString;(return.Response)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;LENGTH(return.Response)==4;daikon.inv.unary.string.FixedLengthString;(return.Response)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;LENGTH(return.Released)==11;daikon.inv.unary.string.FixedLengthString;(return.Released)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;return.Poster is Url;daikon.inv.unary.string.IsUrl;(return.Poster)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;return.Metascore is Numeric;daikon.inv.unary.string.IsNumeric;(return.Metascore)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;LENGTH(return.imdbRating)==3;daikon.inv.unary.string.FixedLengthString;(return.imdbRating)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;return.imdbRating is Numeric;daikon.inv.unary.string.IsNumeric;(return.imdbRating)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;return.imdbVotes is Numeric;daikon.inv.unary.string.IsNumeric;(return.imdbVotes)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;return.Type one of { "episode", "movie", "series" };daikon.inv.unary.string.OneOfString;(return.Type)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;LENGTH(return.DVD)==11;daikon.inv.unary.string.FixedLengthString;(return.DVD)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;return.Episode is Numeric;daikon.inv.unary.string.IsNumeric;(return.Episode)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;return.Season is Numeric;daikon.inv.unary.string.IsNumeric;(return.Season)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;LENGTH(return.seriesID)==9;daikon.inv.unary.string.FixedLengthString;(return.seriesID)
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;return.totalSeasons is Numeric;daikon.inv.unary.string.IsNumeric;(return.totalSeasons)
